Tweet_ID,Date,Text,Ticker,Entry_Price,Current_Price,Performance_%,Status
2074456898120679871,clashreport,2026-07-07 14:52,Zelensky at NATO Summit in Ankara:  Ukraine belongs in NATO.   Because NATO with Ukraine is the alliance for the future. https://t.co/3bYq38n7Zl,NATO,41.75,41.85,0.24%,OPEN
2074456345000939717,clashreport,2026-07-07 14:52,"NATO Unveils Billions in Arms Deals on Ankara Summit's First Day  NATO leaders unveiled arms deals worth tens of billions of dollars in Ankara on the first day of the NATO Summit, following US calls to boost military spending.  https://t.co/2jJuNxjhxp",NATO,41.75,41.85,0.24%,OPEN
2074456342689988855,clashreport,2026-07-07 14:52,"Zelensky at NATO Summit in Ankara:  Europe needs its own effective anti-ballistic systems and missiles, and this work is already underway.   I urge all of you and all our partners to give it the attention it deserves.   And this cannot wait until 2030 or beyond. Europe needs https://t.co/gR6tkXxoAH",EURUSD=X,1.14,1.14,0.0%,OPEN
2074455880855163351,clashreport,2026-07-07 14:52,Zelensky at NATO Summit in Ankara:  The one thing we still need to do here in Europe is build a strong defense against Russia's ballistic missiles. This is a big challenge. It's true — this is Russia's last major advantage.   I believe Europe urgently needs its own capability to https://t.co/Jt1YljAy7j,EURUSD=X,1.14,1.14,0.0%,OPEN
2074454786158506379,clashreport,2026-07-07 14:52,"Zelensky at NATO Summit in Ankara:  We have completely eliminated the very idea of Russia having a strategic rear.   And you know this country — for a long time, Russia believed it had a territorial advantage. No one else possessed a deep rear.   It could safely keep military https://t.co/NMQrH2WuWS",NATO,41.75,41.85,0.24%,OPEN
2074453994169119161,clashreport,2026-07-07 14:52,"Zelensky at NATO Summit in Ankara:  We are now eliminating around 30,000 Russian soldiers every month. Just imagine that scale.   In June alone, nearly 28,000 Russian soldiers were eliminated, and we have video confirmation for every single one of them.   The overwhelming https://t.co/O0WabVoDjz",NATO,41.75,41.85,0.24%,OPEN
2074452819629793760,clashreport,2026-07-07 14:52,"EU’s von der Leyen at NATO Summit in Ankara:  Türkiye is one of the largest armed forces within NATO, of very big importance, and has always played an important role in the alliance.   But also, of course, in our relationship with the European Union.   And as I said, if you only https://t.co/rZiuqOSJTY",EURUSD=X,1.14,1.14,0.0%,OPEN
2074446563997302784,clashreport,2026-07-07 14:52,NOW: Trump arrives in Ankara for the NATO Summit. https://t.co/frz9MNjL6O,NATO,41.75,41.85,0.24%,OPEN
2074445356545302820,Schuldensuehner,2026-07-07 14:52,"Good Morning from Germany, where industry is beating expectations: output rose 0.9% MoM in May vs 0.1% est, 2nd straight gain. Autos drove rebound w/+3.6% production, while construction also grew. Signs mounting that Europe’s largest econ is exiting its slump https://t.co/jPBGvcEBjR",EURUSD=X,1.14,1.14,0.0%,OPEN
2074438998924177703,clashreport,2026-07-07 14:52,"Turkish Vice President Cevdet Yılmaz at NATO Summit in Ankara:  Today, Türkiye ranks 11th in the world among defense exporting countries. We aim to enter the top 10 in the near future.  To put it in football terms, Türkiye is a country that aims to be in the first league. https://t.co/iXOgMmV9D8",NATO,41.75,41.85,0.24%,OPEN
2074438296176939479,clashreport,2026-07-07 14:52,"NATO’s Rutte in Ankara Summit:  Today, we are on the cusp of the transatlantic defense industrial revolution. I am asking you to take a leap.  Show our people that we are ready and capable to protect them anywhere, at any time.  And show Russia, and all those watching today, that https://t.co/4nlMYdJkzj",NATO,41.75,41.85,0.24%,OPEN
2074437748283367899,clashreport,2026-07-07 14:52,NATO’s Rutte in Ankara Summit:  We need a transatlantic defense industrial revolution. The hum of machinery must become a roar.  Governments must continue placing long-term orders and signing contracts. https://t.co/kLRGxGJbGR,NATO,41.75,41.85,0.24%,OPEN
2074437367453077719,clashreport,2026-07-07 14:52,NATO’s Rutte in Ankara Summit:  We don't have the luxury of time. We need the capabilities now to ensure we remain ready.  Russia is putting almost half of its national budget into its war machine. Can you imagine? Almost 50% of what Russia spends is put into the war machine. https://t.co/XC9KL2mUUH,NATO,41.75,41.85,0.24%,OPEN
2074436753146912922,clashreport,2026-07-07 14:52,"NATO’s Rutte in Ankara Summit:  By next year, the alliance will have the capacity to produce around four million artillery shells annually — almost twice as many as last year.   That's scale. https://t.co/ZNS6FeOYVN",NATO,41.75,41.85,0.24%,OPEN
2074436319820873845,clashreport,2026-07-07 14:52,"NATO’s Rutte in Ankara Summit:  Just this morning at the forum, substantial new contracts were signed and more big announcements were made.  All together worth tens of billions of dollars and growing.  By next year, the alliance will have the capacity to produce around four https://t.co/wEUFbw4rEn",NATO,41.75,41.85,0.24%,OPEN
2074436028673192270,clashreport,2026-07-07 14:52,"NATO’s Rutte in Ankara Summit:  Over the last year alone, we have seen 37 billion dollars invested in boosting our defense industrial base itself. https://t.co/l8KTuOcl6N",NATO,41.75,41.85,0.24%,OPEN
2074435477084512527,clashreport,2026-07-07 14:52,"NATO’s Rutte in Ankara Summit:  Let me start with a little football analogy:  No team wins because of one brilliant player. You need the goalkeeper, you need the defenders, the midfielders, the strikers. And yes, everyone notices the player who scores the winning goal.  But https://t.co/dJ9BeoW8B3",NATO,41.75,41.85,0.24%,OPEN
2074430014041563211,spectatorindex,2026-07-07 14:52,"BREAKING: Saudi Arabia is considering expanding capacity of its east-west pipeline that transports crude oil to Red Sea coast, according to Reuters report.",CL=F,70.16,70.36,0.29%,OPEN
2074412535902548439,clashreport,2026-07-07 14:52,NOW: NATO allies conduct a historic combined signing ceremony as part of the NATO Summit in Ankara.  The financial value of the deals will be revealed by Secretary General Mark Rutte tomorrow. https://t.co/NoHJ3BA8cq,NATO,41.75,41.85,0.24%,OPEN
2074411325569032636,clashreport,2026-07-07 14:52,Zelensky arrives in Ankara for the NATO Summit. https://t.co/gIfCIxcuWL,NATO,41.75,41.85,0.24%,OPEN
2074409905327350108,clashreport,2026-07-07 14:52,"NATO Deputy Secretary General Radmila Šekerinska:  Six allies have come together to develop and deliver low-cost cruise and ballistic missiles at scale.  Another initiative includes the development of a prototype for a generic NATO 155-millimeter munition, which is complemented https://t.co/aya8MrCVyZ",NATO,41.75,41.85,0.24%,OPEN
2074409356561363292,clashreport,2026-07-07 14:52,"NATO Deputy Secretary General Radmila Šekerinska:  Following the success of its original IMECE Earth observation satellite, Türkiye is announcing an ambitious plan for the development of two additional high-resolution satellites.  They will be built here in Türkiye by the TUBITAK https://t.co/DbDBYjn65Y",NATO,41.75,41.85,0.24%,OPEN
2074407933618594136,clashreport,2026-07-07 14:52,"NATO's Rutte in Ankara:  The United States and several of its leading defense companies — including Anduril, Boeing, General Dynamics, Lockheed Martin, and Raytheon — have agreed new industrial cooperation initiatives with major European players in the defense sector, like Diehl, https://t.co/K7R3x0MKT4",EURUSD=X,1.14,1.14,0.0%,OPEN
2074495485708992612,clashreport,2026-07-07 17:12,WATCH: Sudan Army’s AKINCI drone shot down yet another Chinese-made CH-95 drone supplied to the RSF terror group by the UAE. https://t.co/pcEqENlMaj,WATCH,0.0,0.0,0.0%,OPEN
